label,tweet
anger,[USERNAME] Waduh mas mas omonganmu kok koyo gt seh. Gak semua kaya gt. Orang kalo ga dikeplak duluan yo ga bakalan ngamuk kok. Wis talah gak usah bikin twit kaya gt. Ga da untungnya juga. Bisa menghasilkan uang po? Gk kan.
joy,Ini justru bagus. Dengan ini semoga dangdut kita bisa menaklukkan asia tenggara. Nanti nya kita tidak hanya mengirim TKI tapi pedangdut. Yeay!
sadness,'Ya Allah
joy,CONGRATULATION!!! SELAMAT YA ADIK CEWEK KE2 ATAS KELAHIRAN PUTRINYA YANG KE3 GUE SEBAGAI KAKAK TURUT SUKA CITA BERSYUKUR SENANG SUDAH DIBERIKAN KESELAMATAN ALLAH SWT DALAM PROSESING PERSALINAN PUTRI KE3 NYA SEMALAM KAKAK BERDOA SEMOGA PUTRI KE3 NYA MENJADI PUTRI YANG SHALIHAH [URL]
sadness,'[USERNAME] Kepentok dikit langsung kereboot otomatis bbnya
anger,'Dia taruh jari telunjuknya di jidatku ''mangkanya! Beli susu tuh diminum
joy,'Salah satu kekuatan jokowi adalah Dia bersih dari korupsi Anak dan keluarga nya tiduk ikut Bermain politik 
love,'Lee daehwi ku sayang
joy,Saat-saat ketika kamu membagikan cerita lucu atau pengalaman lucu dan mengundang tawa dari orang lain. ðð£ #HumorSharing
anger,'Momen di mana semua yang kamu inginkan adalah meredakan amarah
anger,'[USERNAME] maaf pak saya rasa kita hrus punya etika dlm mengutarakan pendapat
joy,Jadi habis ngurus plat sepeda motor. Ada pemandangan menarik. Kebanyakan owner sepeda motor = pria sebaya ( bapak2/ 45 ke atas)Secara sekarang harus diurus ownernya. Hmmm jadi emak2 yang demen motoran rata2 cuma hak pakai doang wkwkwk *sendirian di tengah bapak - bapak.
fear,Momen di mana perasaan takut membuatmu merasa seperti kamu harus berlari dari segala yang menakutkan. ð?â?âï¸?ð¨ #RunningFromFear
sadness,'Aku merasa hampa dan tak berdaya
joy,'Terima kasih yak buat kakak* diJakarta n Surabaya yg udh luangin waktunya buat meetup.. hehehehee 
sadness,'Ketika kamu merasa terasing dari dunia di sekitarmu
joy,Si senyum ngeselin yg bisa bikin hepi.. haha.. bawaannya bahagia aja kalau udh liat nih anak perform :) ada aja kelakuannya yg bikin kangen beneran adek aneh yg ngeselin tapi ngangenin
joy,'Sama kayak bahagia. Mau gimanapun persepsi orang tentang bahagia
joy,samasama ya makasih makasih fans selamat jadi anak rumahan :d
anger,[USERNAME] sianjiirrr......demen bgt bkin kontroversi!
anger,[USERNAME] Nyerang fansite suruh take down semua foto pas konser. Sampe nyuruh fansite tutup aja. Kalo fansite tutup ya sumber atm mereka tutup juga lah hahaha.
fear,'Okay makin kesini makin yakin untuk segera pindah
joy,'Sudah dibangun
sadness,Setiap nafas terasa berat dan penuh dengan kepedihan yang tak bisa dihilangkan.
sadness,'Innalilahi wainnailaihi raji'un
sadness,Dan nga masuk rekomendasi ulama versi pak [USERNAME] tapi kita biasa aja .. malah enak nonton langsung rausah rekomendasi rekomendasian .. jadwal padat setahun . Ngundang sekarang buat tahun depan [URL]
love,Aku ingin jatuh cinta padamu yang siap menerima perasaanku ini tanpa rasa paksaan dari siapapun. Semoga kamu juga menginginkannya dan selamat malam gadisku.
love,'yang mencintaimu sebisaku
anger,kalo ada yg apal orang orang nye gak mungkin bisa teriak ROJALI jangan pernah menuduh yg belum pasti apalagi menusuk saudara se persija sendiri . #PersijaSelamanya [URL]
love,Merasakan rasa nyaman dan damai saat bersama seseorang adalah tanda bahwa cinta telah ditemukan. ðð· #PeacefulLove
sadness,'Apabila kamu sudah tidak dianggap ada
joy,Hrsnya tuh org malah berlomba2 gasih jd ambisius dhdkdjdj Gw selalu kagum sm org2 yg punya keinginan keras untuk mencapai tujuan dia...karena artinya dia yakin sm tujuannya dan dia gak main2 sm mimpinya. It's mesmerizing.
anger,'5. masa depannya nggak jelas. lha iya
joy,'abis sahur
sadness,Aku merasa seperti dunia ini hancur saat rasa sedih merayapi hatiku.
anger,[USERNAME] Coba dikasih jelas ke [USERNAME] dan pasukan nya.... biar ga ngebubarin pengajiannya Ust [USERNAME] dgn alasan HTI ormas terlarang [URL]
love,'Aku menunggu comeback kalian. Aku menunggu ot9
love,aku gak tau kenapa .. makin hari aku makin sayang sama kamu .. aku makin takut kehilangan kamu .. aku pengen terus bersama kamu .. hingga akhir waktu ku ..
sadness,Aku merasa terjebak dalam jurang kepedihan yang tak ada akhirnya.
anger,'Sudah saatnya menjadi singa yang garang dan terhormat
fear,selalu takut kalo mama tau gue abis belanja2 pdhl belanja juga pake tabungan sendiri cm kalo mama udh ngomel ntah knp jd nyesel sendiri udh belanja online trs
fear,'Serem jg nih kalo sering mati lampu gini. Ngeri aje pas lg ditinggal keluarga ke jogja besok
fear,'Bagaimana ya. Jalur yang dilewati juga jalur lewat truck juga. Aku mikir gini ''sayang gak sih sama nyawa?'' Dan beberapa umpatan lainnya. Dan jalan itu kurang penerangan dan banyak sekali yang ngelawan arus jalan.'
anger,'[USERNAME] [USERNAME] [USERNAME] br keluar goa ya? lu ga tau presiden lu diancam bunuh
anger,'wartawan di bunuh guru di bunuh aktivis di bunuh
joy,'Tapi seneng juga karna [USERNAME] secara langsung merilis mini album pertama. Rilis 6 april
love,'Di sela-sela kesibukan di kantor
anger,Aku merasa seperti aku akan meledak dalam kemarahan kapan saja.
fear,'[USERNAME] [USERNAME] Biar saja mereka
sadness,'Bukan ku menghindar atau tidak bijak dalam menyikapi masalah
fear,'serem
joy,'Saya jg merancang skenario surprise buat istrinya. Dan dijamin istrinya pasti happy banget. Saya aja happy banget Kayaknya saya cocok jadi tim kreatif acara2 reality show yang ada unsur2 romantis2nya
anger,'Yallah... yaallah... w mau scrolling ig aja ngelag
fear,'[USERNAME] [USERNAME] [USERNAME] Tidak disemua tempat kita boleh melaksanakan sholat
sadness,'Sebagai manusia yang punya phobia tempat sempit dan sesak
fear,'Oh iya
joy,Tadi sempet swafoto bareng pesinetron komedi TOP (Tukang Ojek Pengkolan) : Mang Odih alias Om Kusye. .. Yg membanggakan adalah si om menjadi saksi mewakili dari pihak perempuan (keluarga [URL]
sadness,'[USERNAME] ngumumin tunangan di hari ke tujuh
sadness,Kangen mama :( buat temen2 yg masih ditemeni mamanya ataupun kedua ortu. Kalian sangat beruntung.. sayangi mrk selagi msh ada kesempatan [URL]
joy,Kita semua mengaturkan kesuwun yg se-tinggi2nya kpd pakjokowi n kabinet dgn kinerja yg super bnget utk kemakmuran rakyat
love,'Tuhaaannnn.... kangen bngt sama dia.... adakah ia jg merindukan q....bulan...terangnya sinarmu mlam ini... bulan..sampaikan salam q pdnya...dia pasti jg melihat kmu disana...bilang sama dia...aku sayang bgt sama
anger,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL]
joy,'aya udah rapi belom rambutnya??? abis bangun tidur nih cantik ya mantul dah Febby Nathania Elvarette
sadness,'[USERNAME] iPhone 7 plus
sadness,Ketika kamu merasa seperti kamu hanya bisa merasakan kelelahan dan letih yang tak terkira. â¡ð #Exhausted
anger,'Ini ya [USERNAME] [USERNAME] kalian lucu ya masak pas sy orderada lho stoknya kok bisa2nya skrg bilang ga ada stok..Loreal pun responnya lambat bgt.. sy tanya dr tgl 31 dan bru drespon hari ini itupu krn sy tanya lagi
joy,Ok fix selesai 100 persen Bye bye bye harapan indah Thks all team Semoga cepat dapat proyek baru Aminn
sadness,'Momen di mana kamu merasa seperti kamu berjalan dalam kegelapan
joy,'Selalu ku syukuri sampai detik ini
joy,'waaah...rajin ya ay
joy,'Begitu diumumkan lulus 100%
anger,'Seandainya 2019 jokowi kalah sdh dipastikan : HTI bangsat bangkit
love,Menghabiskan waktu bersama seseorang yang kamu cintai adalah investasi terindah yang bisa kamu berikan. ð©â?â?¤ï¸?â?ð¨ð¸ #QualityTime
joy,'Buat hiburan
sadness,'[USERNAME] [USERNAME] Iyaa kii tau aja luu
joy,'[USERNAME] [USERNAME] Waw thx u bgt menginspirasi
love,setelah mengetahui silailah keluarga seokjin gue makin jadi sayanggggg bangetttttt. please bukan krn bokapnya yg ceo/ibunya yg ex miss korea. tp gue sayang sm seokjin yang bener bener mau berjuang sama bangtan. kita tau bangtan dulu susahnya kayak gimana
joy,'Kerja kantoran di Malang itu rejeki. Jadi seksi sibuk utk temen-temen yg mudik ke Malang
fear,'Itulah pentingnya materi kode etik diajarkan sejak SD
sadness,'Saat sakit gigi dan sakit hati datang berbarengan rasanya kayak mau bilang.. ''Terima kasih loh Tuhan aku dikasih kesempatan langka begini :')'
anger,'[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] yg penting janji itu di buktikan dgn kerja nyata
anger,Kemarahan ini membuatku merasa seperti aku siap untuk meledak kapan saja.
sadness,'Ketika kamu melihat tempat-tempat yang pernah kamu kunjungi bersama seseorang yang kini tak lagi ada
anger,'trending topic yang trendy banget
anger,'Sumpah ya gue komplen masalah duit yg kedebet di BCA cepet dikembaliin daripada di B*PN. Di BCA cuma sehari
love,'[USERNAME] Cuek tapi diem2 perhatian banget sama anak nya
joy,'Selamat pagi warga Gunungkidul
joy,'[USERNAME] [USERNAME] Alhamdulillah ga pernah merasa inferior
fear,'Dulu waktu kecil kan ditakut2in kalo makan biji buah
sadness,'[USERNAME] [USERNAME] [USERNAME] [USERNAME] Allahu a'lam. Ana juga tidak tahu kapan
love,'[USERNAME] Centil
anger,[USERNAME] Gue bukan antrinya sih ya tp nunggu tanda tangan wadek akademik ini masyaAllah bget yak. Blm lg kalo elemen2 yg tempat berurusan udah dtng. Ya apalagi ini bln puasa dtng telat pulang cepat hmmm
joy,Merasakan kebahagiaan yang mengalir melalui tubuh saat kamu mencium aroma bunga yang harum di taman. ðºð¸ #FlowerScent
love,'[USERNAME] gue juga gitu ke semua orang apalagi orangtua. makin hari makin tua dan gue gatau mereka sadar apa engga kalo gua sayang sama mereka. anjir payah bgt gaktuh gue tapi beda kalo ke kakak atau pacar (kalo lagi punya)
love,'Dear Naomi.. Tumbuhlah jadi anak yang solehah
sadness,Keinginanku utk membeli ini itu seketika terhenti krn 1 kalimat Emang punya duit? Cuma nyokap doang yg bisa ngomong gitu krn gmn ea kan beli pake uang jajan dari siapa
anger,'yang ingin aku sampaikan ini adalah
joy,'Banyak yg bilang '' kmu itu udah jdi guru jiwa keibuan lelaki mana yg gag mau coba ya meskipun materimu gag seberapa tp banyak yg kagum '' tersenyum dan billang allhmdulillah ternyata dekat dengan banyak anak kecil dapat berpengaruh positif dalam diri kita [URL]'
fear,'Masi ga ngerti kenapa bisa takut ketinggian :') padahal dulu doyan manjat pohon depan rumah. Skrg liat ke asrama lt dasar aja ogah
joy,'Pertama kali ketemu pas bayi umur 3 bulan dan sekarang sudah 6 taon kelas 1 SD
joy,20180710 #3 09.06 WIB Akhirnya geng sosialita kumpuulllll Breakfast syantiek dari TBS dan Kelapa Gading #Holiday #Breakfast #Syantik #PizzaHut #Juanda #Jakarta #Indonesia #Tuesday
anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Harus-nya Di Tanya Pernyataan Sandi Itu Atas Nama Pemprove DKI Atau Kapasitasnya Sebagai Anggota Dewan Pembina Gerindra ?
joy,Terimakasih Papap... Terimakasih selalu ada... Terimakasih selalu siaga... Terimakasih selalu mencukupi... Terimakasih selalu memaklumi... Terimakasih selalu bersabar... Terimakasih selalu
anger,'Itu namanya fitnah mbak
joy,'Nah hari ini kaka gue memutuskan naikin uang makan gue biar ga makan di kfc mulu
anger,'[USERNAME] Kalah sudah kalah pamor ya beginilah jadinya
joy,#OldMoneyGakNgerasain pasang rautan pensil yg ada cerminnya di sepatu buat ngintipin 'celana dalam' temen sekolah cewek
anger,'Paling mlz klo udh ngliat org ngomong komen dll kyk udh bener suci atas ampe bawah tp zonk :)) ntr klo nyinyir jawabnya ''berhijrah itu mudah kok
joy,'Ramai
sadness,Tmn nya laki gw almh th Meninggal Waktu pda hidup Ngintil aja kmna laki alh gw mlangkah ngikut Suka nlpon nelpn kekantor Perpanjangan katakata nya suamiku almh waktu jatuh cinta Ksian gk bsa dtang di rmah duka rs husada Orang nya seneng ketawa Comblang laki ku Hdhhh sedih
joy,'Kepingin gudeg mbarek Bu hj. Amad Foto dari google
anger,'Menjelang lebaran
fear,'Baru pulang & mama said 'jgn kebanyakan mikir kamu ya mama takut
fear,[USERNAME] Masa kecil yg pling diingat itu klo Barangkt sekolah itu mnta diantar ibuk trs karena takut kesekolah sendian dan harus dibelikan Permen dlu biar mau berngkat gt dech scra gue orang pendiem dan takut kpd teman #MasaKecilkuAsik [USERNAME] [USERNAME]
fear,'Tetapi rasa takut itu kalah melawan rasa penasarannya. Nada perlahan menunduk dengan menyalakan senter hp yang ia pegang
joy,Sekali lagi Salut dan Selamat [USERNAME] Terima kasih atas energi luar biasa teman teman
love,Gue masih bisa sayang sama lo dengan layak tanpa lo harus tau apapun tentang gue. Kenapa gue harus merepotkan diri kayak gini? Padahal ikut campur itu gak ada dalam skill yang diperlukan
sadness,petani dieng rugi akibat bun upas - mungkin sudah mulai harus di kencangkan kerjasama BMKG Dengan Dinas Pertanian untuk wilayah2 khusus seperti dieng supaya ada peringatan dini bun upas - apakah memungkinkan? [USERNAME]
love,'Melakukan hal yang sebenernya lo ngga suka
joy,'Pulang kerja jalan ke GI makan jalan ngobrol ketawa tawa pulang malem tapi milih buat nongkrong lagi di parkiran pom bensin samping Sency lanjut ngobrol ketawa tawa
joy,'Ternyata saya bisa dan enak makan dengan menu yang dibuatkan oleh COACH saya. Alhamdulillah
love,'[USERNAME] Wowon tersenyum ketika melihat kelakuan kekasih 'galaknya' seperti biasa
sadness,'[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Iya menurut wangsit sih begitu. Tapi ini diundur lagi jadi pesimis deh sama ini negara
joy,'Sayanggg wkwk aku mau ngakak Kamu jahat banget astaga masa anak kamu sendiri
joy,'Terima kasih udah bekerja keras kasih kita (army) musik yang berkualitas
anger,'Tapi angin2an sih. Kadang ditindak
anger,Ketika situasi membuatmu begitu marah hingga kamu merasa seperti kamu bisa merobek dimensi. ð®ð¡ #DimensionBreaker
anger,Jadi bos tp ga pny problem solving kok jd gmn gt ya...ga tau akar masalahnya gmn jd ya instan semua tar rusak lagi rusak lagi gitu aja teroos..
sadness,'Andai ID-MY takyah guna pasport
love,[USERNAME] gue sayang banget banget banget kenapa ya kalo sama iKON baru kali ini rasanya ngestan yang bener bener sayang banget tapi kek kerasa disayaaaang balik banget sama merekanya. jadi aku makin sayang dan gabisa lepas. GIMANA JELASINNYA YA TAPI
fear,'#OldMoneyGakNgerasain mau browsing aja harus pake paketan internet yang kuotanya 10 mb per hari dengan sinyal maksimum Edge
anger,'Gw ngga melihat ada yang salah dengan apa yang dilakukan Via Valen. Kalo dia tersinggung dan diumbar ya suka-suka dia. Kalo dia selo dan bodo amat
sadness,'Ketika orangtua udah bilang : nak
fear,'Un sd gatakut samsek
sadness,Portugal rasanya akan jadi yang paling lemah diantara 8 tim kandidat lain. Modal mereka juara EURO 2018 cuma HOKI!!! + catatan Ronaldo di Piala Dunia buruk. Paling mentok di 16 atau 8 besar.
joy,(2) awalnya kaget karena gak pny basic broadcast tp krn rasa ingin tau yg tinggi jadi deal nih apalagi salarynya Alhamdulillah utk sekelas penyiar. Hari kedua di studio sdh memasuki bulan #Ramadan dan totally lingkungannya syariah dan muslim banget. Awalnya maksain diri utk
anger,Partai merah ini kan ideologi dasarnya tidak mengakui adanya akherat.Masih sejalan dgn Pancasila kah?.Yak apa pak prof [USERNAME] mnjelaskannya.Sila pertama jelas tdk nyambung dgn partai merah. [URL]
fear,Saat aku merasa seperti ada yang menarik rambutku
sadness,icip2 :9 sebelahnya sate gang lele yang mahal tapi rasanya biasa saja itu bakmi gang lele
sadness,'Rindu tidak terungkap. Dalam banyak-banyak insan yang aku kenal
fear,'jam 3 belum nongol jg. eh sampe jam 4
fear,'Dibalik cewe yang memberikan kepercayaan kepada pasangannya
love,'Kata orang
anger,'[USERNAME] [USERNAME] [USERNAME] Ganti presiden tp gak punya presiden cm. Preseden
fear,Ketika kamu merasa seperti kamu harus berhadapan dengan mimpi buruk yang tak kunjung berakhir. ð¤ð° #EndlessNightmare
love,'Matahari terbenam diiringi dengan cinta yang tak terukur
sadness,Akhirnya selang beberapa lama gw kalah juga. Lebih tepatnya mengalah. Karena setelah mundur beberapa langkah kebelakang. P.O.V nya lebih clear dan gw bisa analisa lebih fokus. And well shit. Evidence nya selama ini terpapar di muka. Cuma gw ny aja yg bego ga sadar
anger,'[USERNAME] Ya Allah...apa2 kok yg disalahin pres [USERNAME] ... Kayak presiden kurang kerjaan ya gaes
joy,'Haha serius sih pertama liat itu tulisan tukang kedai mie tiaw tsb
sadness,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tp sukses melupakan laper. [URL]
anger,'udah tau akun verified
love,tapi yah aku tuh suka namjoon bukan karna makin sini makin cakep tapi karna personality sama talent dia juga.kalo yg belum jatuh cinta sama namjoon coba tonton solo vlive dia yang pake pajama ryan kalian pasti akan jatuh cinta sama bapak yang satu ini
love,'Yah namanya juga cinta. Ada waktu cinta banget
sadness,[USERNAME] Hahaha sekali dua kali sih aku bisa ngerti apalagi kalo deket. Yaudahlah ya Kalo jauh dan begitu terus You might consider to fuck your phone instead of me
fear,'[USERNAME] [USERNAME] Tidak disemua tempat kita boleh melaksanakan sholat
anger,Rasa amarah ini membuatku merasa seperti aku akan meluapkan semuanya.
joy,'Materi Mr Roger Tol (Belanda) terkait dunia pernaskahan di Indonesia. Wow... Keren banget ya
sadness,'Saat kamu merasakan rasa hampa dan kesepian yang mendalam
sadness,'Semoga pada selamat ya anak-anak itu. Gue pernah ke Gua Pindul
love,Aku selalu ada untukmu Kamu selalu ada untuknya .
joy,'Saya mengadakan pertemuan sangat baik dengan presiden [USERNAME] dan dengan happy hati menemaninya dalam kunjungan blukusan (dadakan) di masyarakat
fear,Ngeri yaa lalulintas di sana -_- untung di Bali belum pernah ngerasain yang beginian sih
anger,'[USERNAME] tolong dijelaskan maksud dari '' Hal ini dibuktikan dengan penggunaan resi pada transaksi Anda yang telah digunakan pada transaksi lain (transaksi Anda dengan supplier Anda). '' saya rasa tidak mungkin ada double resi...'
joy,'Acara nya seru bange! apalagi pas ka abdul nyanyi
sadness,Kamu.... Ah aku benci semuanya! :'(
anger,'Ada yang marah pada kelas editing. Katanya: ''Saya mau belajar fotografi
sadness,'[USERNAME] Tabungan rencana bagus karena dipaksa
joy,lagi beli mrtabak gliran sudah jadi tapi kaki berat melangkah gra2 dengar lagu hayah mas mas nya lf juga kaya nya :p
love,'Begitu mulianya tugas orang tua membesarkan anak. Mengemban amanah dari Tuhan untuk menjaga
anger,'CMIIW
joy,'Jd ceritanya adekku pinjem buku paket ke mantan Kk kelas yg udh lulus nah gak sengaja nemuin kertas nyelip disalah satu halaman pas adekku baca bilang eh mb surat cinta
sadness,'Ya allah tuhan ku
love,'Aku tak mudah untuk mencintai
joy,'[USERNAME] sudah pakai perasaan sekali kita ngmng nya . cmn bnrn caesar sm connor yg ok
sadness,Niatnya sih tidur Terus buka twitter Eh scroll twitter sampe nggak ada habisnya Iya kaya sayang aku ke kamu Ngak ada habisnya Sayangmu ke aku.. Habislah sudah :( seperti tida pernah ada
love,Dia itu beda dia yg ngenalin semua hal yg ga pernah gue tau sebelumnya dia yg gapernah nunjukin apa apa disosmed dia yg ngajarin gue buat cinta sama alam makanya gue gabisa move on ampe sekarang He's the one !!
sadness,'tiap minta perawatan sama mama suka dibilangin macem2 gt yang nanti ketergantungan lah yg banyak bahan kimia nya lah jdnya doi suka bikinin masker yg bener2 alami dari bengkoang
sadness,'[USERNAME] Moon cintars!! Sedi bgt dong
joy,Memang tak ada manusia yg paling benar dalam tindak tanduknya. Tp SELALU ADA manusia yg mampu jd benar setelah paham pernah salah dan tak selalu menyalahkan sana sini dg hawa nafsunya
joy,'Perkembangan teknologi nggak akan ada habisnya deh. Semakin lama
joy,'Terima kasih Dinporapar Kabupaten Purbalingga
sadness,'Ketika kamu merasa seperti kamu hanya bisa merenungkan tentang saat-saat yang telah berlalu
anger,[USERNAME] min pengajuan reksa dana saya di setujui tgl 28/05. Kok gk dapat voucher gift card. Cek email pun tdk ad [URL]
joy,tft nur indah wkwkwk menyenangkan (y) :d
joy,Inget jaman SD sekitar kelas 3-4an. Tiap pulang sekolah pasti mampir ke rumahnya [USERNAME] buat main dan nonton meteor garden sama mamahnya. Ikut mandi sama makan juga. Baru pulang kalo udah di telepon mamah. Haha.
joy,[USERNAME] [USERNAME] Ini price list yang ada dari facebook nya mereka. Web nya di [URL] semoga membantu :)) Anyway ini myday yang biasanya sering karaoke disana [USERNAME] :)) [URL]
love,10-07-2018 Tersenyum & Tertawa itulah sebuah tantangan bagi saya untuk bisa membuat kamu senyum &ketawa lepas. Memang sulit bagi saya untuk melakukan semua itu. Tetapi saya akan berusaha
fear,'Jadi semalam
sadness,'Jaman dulu fotografer masih jarang maen photoshop
sadness,Dukaku karna tak mampu katakan sedih ku karna sakit ku!! #iniserius #seriuscumatulisan #tulisandarilubuhhati #hatiyangcukupdalam #tapigakdalamdalambanget *emot mekkel sip*
anger,rekaman hancur sudah si otak jongkok sok pintar
anger,Ganti presiden? Siapa takut...hanya siapa calonnya? Apa si doi yg onoh? Ih gak syudih
love,Jika kita mencintai seseorang.. Berusahalah untuk tampil apa adanya.. Karena cinta sejati selalu dapat menerima kelebihan dan kekurangan kita....
anger,Gimana rakyat bisa sejahtera #JatengDaruratKorupsi #JatengDaruratKorupsi #JatengDaruratKorupsi #JatengDaruratKorupsi #JatengDaruratKorupsi #JatengDaruratKorupsi #JatengDaruratKorupsi #JatengDaruratKorupsi #JatengDaruratKorupsi #JatengDaruratKorupsi [URL]
